id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1464735141763305476;1638055045000;HerryFTanjung;826;1625;False;0;0;0;0;b'@PSG_inside @ASSEofficiel Please play @SergioRamos and @gigiodonna1'
1464728687186628610;1638053507000;FTYTRB;41;0;False;0;0;0;0;b'MCFC is about to complete the transfer for Donnarumma (GdS) for 70 million'
1464727605731639306;1638053249000;f_anderson8;1013;1155;False;0;0;0;0;"b'Weverton &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; Donnarumma'"
1464725783952330753;1638052814000;dagnino_i;19;388;False;0;0;0;0;b'@PSG_espanol Donnarumma for sure !'
1464724010533625858;1638052392000;LordShafko;3772;289;False;0;0;2;1;"b""@kavan74fut dw they're so shit, had only 1 walkout in 14 ligue 1 81+, and it was donnarumma"""
1464723492515942400;1638052268000;MyMortalMusings;129;41;False;0;0;0;0;b'@QsvsFk @malt_milanista @MilanPosts Donnarumma, Hakan. Quite easy when you think about it.'
1464714796041863168;1638050195000;febraal21;302;263;False;0;0;0;0;b'@Mtg69T Thanks bro Only 3 I got donnarumma first one and second one was shit 3rd one I got this'
1464710999550877710;1638049289000;lcfcstoney;1686;199;False;0;0;1;0;b'@LCFCMadderz Donnarumma'
1464709293828157445;1638048883000;AGPlays_;595;325;False;0;0;2;0;b'Any GK other than Donnarumma is disabled on Fifa 22 #Fifa22'
1464708542854676483;1638048704000;FTYTRB;41;0;False;0;0;0;0;b'MCFC is seriously interested in Donnarumma (ESPNUK) for 70 million'
1464704717993525251;1638047792000;inthetora;320;135;False;0;0;0;0;b'weverton melhor que donnarumma'
1464704281605554185;1638047688000;BruceK40079527;32;52;False;0;0;0;0;b'@TraceyMmm @FIFAWorldCup @Cristiano @Azzurri_En @selecaoportugal As a player Ronaldo is more accomplished than Donnarumma at the moment but as a team ofc I\xe2\x80\x99d say Italy is probably leagues ahead of Portugal.'
1464699665635500032;1638046587000;kylemcfc2003;521;660;False;0;0;0;0;b'@lfcgoats @clapedboii @FIFA22_INFO I\xe2\x80\x99ve only done 5 myself, had Donnarumma, Navas, Verratti, 2x Volland and Icardi then the rest 81s/82s'
1464695881270136832;1638045685000;FTYTRB;41;0;False;0;0;0;0;b'MCFC is seriously interested in Donnarumma (CdS) for 55 million'
1464695345275969546;1638045557000;carlosjsfc;263;271;False;0;0;0;0;b'@carrusel #CarruselBalondeOro \n\n1\xef\xb8\x8f\xe2\x83\xa3 K. Mbapp\xc3\xa9\n2\xef\xb8\x8f\xe2\x83\xa3 Bruno F.\n3\xef\xb8\x8f\xe2\x83\xa3 E. Haaland\n4\xef\xb8\x8f\xe2\x83\xa3 Donnarumma\n5\xef\xb8\x8f\xe2\x83\xa3 S. Kjaer'
1464691410670657546;1638044619000;shreyz11;312;255;False;0;0;15;0;b'@theohivee @Endri7i Tears thanks for Donnarumma\xf0\x9f\x98\xad'
1464682203565244417;1638042424000;basedmadridismo;198;234;False;0;0;1;1;b'@PSGINT_ I agree, but a full season of inconsistent play time isn\xe2\x80\x99t something Donnarumma\xe2\x80\x99s gonna like. But of course anything can change in 2-3 years. I def agree that it was smarter than signing Messi.'
1464681899721433098;1638042352000;PSGINT_;6061;6649;False;0;0;1;1;b'@basedmadridismo What bro? Hahaha hahaha\n\nDonnarumma will play for us the next 13 years. It was a massive W. This is Navas last season. Donnarumma is opposite to Messi signing.'
1464681520615112710;1638042261000;PSGINT_;6061;6649;False;2;0;25;5;"b""How I (PSGINT) would play PSG\nFormation: 3421\n\nGK: Donnarumma\n\nCB's: Ramos, Marquinhos &amp; Kimpembe\n\nWingBacks: Nuno Hakimi\n\nMidfield: Verratti (buy someone)\n\nAttackers: Neymar, Messi\n\nST: Mbappe"""
1464681255379759106;1638042198000;salmulla7;29;117;False;0;0;0;1;b'@gigiodonna1 Bench mode on'
1464680582546432000;1638042037000;PSGINT_;6061;6649;False;0;0;3;1;b'@aryesh_10 True. Ppl call us bad at defending. Have they seen Kimoembe Navas Donnarumma Marquinhos absolutely shut down 20 shots per game.'
1464679938536226824;1638041884000;amazin_psam;47;361;False;0;0;1;1;b'@Linkered_ @Rishabh25550529 @MrFilipeOrlando Maybe because there were no stand out players? Donnarumma, a GK was the MVP, that should tell you something'
1464679902779691018;1638041875000;GeofreySikaale;29;96;False;0;0;1;0;b'@gigiodonna1 Am behind you man'
1464677689252626439;1638041348000;francofrancis;435;857;False;0;0;0;0;b'@lee_donnarumma Cheers Lee \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d'
1464675855393828870;1638040910000;Igor_gf;197;315;False;0;0;0;0;b'@carrusel 1\xe2\x83\xa3 Messi\n2\xe2\x83\xa3 Pedri\n3\xe2\x83\xa3 Lewandowsky\n4\xe2\x83\xa3 Salah\n5\xe2\x83\xa3 Donnarumma'
1464673837874761730;1638040429000;casntn;426;260;False;0;0;0;0;b'@gigiodonna1 The latest @adidasfootball predator \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe'
1464671525903155204;1638039878000;lowey80;172;276;False;0;0;0;0;b'@gigiodonna1 The bench is waiting you...\nNAVAS \xf0\x9f\xa4\xaa\xf0\x9f\xa4\xaa\xf0\x9f\xa4\xaa'
1464669679985770501;1638039438000;UtdHaitham;85;667;False;0;0;0;0;b'@Mart10HD Got donnarumma and navas only'
1464668111068614659;1638039064000;TheArabicApe01;157;175;False;1;0;2;0;b'@Napoleonismo Better then Donnarumma according to allegri https://t.co/1mRcuuG0z7'
1464667925311365123;1638039020000;MigueljBianco1;179;636;False;0;0;0;0;b'@8247_marina @GmaHappymilan @gigiodonna1 your mood https://t.co/XJu8xddld3'
1464667721774235649;1638038971000;oasan92501;49;338;False;0;0;0;0;b'@gigiodonna1 Keylor Navas still way better goal keeper, need to wait your turn until he leaves PSG!! We trust Keylor, you still rookie!!'
1464665728250892306;1638038496000;FTYTRB;41;0;False;0;0;0;0;b'AMadrid is about to complete the transfer for Donnarumma (ESPNUK) for 55 million'
1464664340930433029;1638038165000;oH4RDY;5527;427;False;0;0;0;1;b'@StunningErling @SanchoSzn7 Donnarumma in the Euros has it edged imo'
1464663904588546048;1638038061000;StunningErling;12;214;False;0;0;0;1;"b""@oH4RDY @SanchoSzn7 Donnarumma over Mendy? I think it'll be the closest one"""
1464661458269134852;1638037478000;PaceLOLZ;0;61;False;0;0;0;0;b'@gigiodonna1 Mate doesn\xe2\x80\x99t look like your working Lmao\xf0\x9f\x98\x82'
1464660402348904458;1638037226000;NickPowch1995;141;310;False;0;0;0;0;b'What happens if Arsenal get Kounde well easy White Gabriel bpl week in week out first choice cb partnership and Saliba Kounde ucl week in week out first choice cb partnership its like Psg policy with two quality goalkeepers Donnarumma ucl week in week out when fit Navas League'
1464658002049265664;1638036654000;SaraFCBi;14626;335;False;0;0;3;2;b'@OneGoat_ Donnarumma has been hit with the PSG curse. Shouldn\xe2\x80\x99t have left Milan'
1464657876417499137;1638036624000;BenBoyle16;1;29;False;0;0;1;0;b'@anonymous_005 @EASPORTSFIFA If navas or donnarumma to get kimpembe on full chem'
1464657593348067328;1638036556000;Onegoat_;1784;351;False;0;0;0;2;b'@SaraFCBi Donnarumma is still performing and Jorginho is doing his average shit.'
1464654877758574603;1638035909000;DrugoMerlino;88;1064;False;0;0;0;0;b'@gigiodonna1 Getting ready for the next bench'
1464651340597104643;1638035066000;itsfriezac;929;153;False;0;0;1;0;b'@FIFA22_INFO Did 10, best player was donnarumma, the rest went back in the sbc'
1464650484170563590;1638034861000;Wolfyboy1997;44;526;False;0;0;0;0;"b""@Sid_Seixeiro I'm prepared for it, if Italy lose the playoffs it means England will win it because Italy won't be in their way. Even though I do like Donnarumma."""
