id;time;username;follower_count;friend_count;user_verified;retweet_count;quote_count;like_count;reply_count;content
1464744837861752842;1638057357000;AlterSigmond;3;232;False;0;0;0;0;"b""Who to win the Ballon d'Or this year? #Poland #lewandowski #janoidonacien #Lewandowski #BallonDor2021"""
1464744399104090116;1638057253000;davidldu7;328;381;False;0;0;0;0;b'How has Lewandowski been in his prime for 10 years'
1464744111433474049;1638057184000;HonestzBarcaFan;89;575;False;0;0;0;0;b'@MessiLad30 @UTDphantom @Freknie @BayernLM10 for ur information, lewandowski is NOTHING without tapins'
1464743784676311042;1638057106000;GabrielMagaGOAT;150;552;False;1;0;5;0;"b""If lewandowski doesn't win the #BallonDor2021 then in my eyes the trophy loses its worth, last year they didn't give it him because of covid and he played even better and broke some records this season so it would be unfair af @lewy_official best player for past 2 years no doubt! https://t.co/2KbLnnGkNR"""
1464743495734677506;1638057037000;gyimiinkoa30;2058;1011;False;0;0;0;1;"b""@drippin_big @FCBayernEN @lewy_official @esmuellert_ You can't command me masa fior k\xc9\x94"""
1464743331913773058;1638056998000;robert_baddoo;1525;2402;False;0;0;0;0;b'@lewy_official Barca fans said you\xe2\x80\x99re useless and they\xe2\x80\x99ll beat you 4-0 at the Allianz Arena.'
1464742925548638208;1638056901000;a7huss;469;316;False;1;0;7;0;"b'Time to get #7 tomorrow, can\xe2\x80\x99t wait to see Ronaldo &amp; Lewandowski fans\xe2\x80\x99 tears \xf0\x9f\x98\x81\xf0\x9f\x90\x90 #BallonDor2021 #LM7 https://t.co/iTmKMLEnTt https://t.co/7FTXyatd1i'"
1464742816496730112;1638056875000;rapidbaldy;647;328;False;0;0;0;2;b'@matti_v2 UCL final goals \n\nComan: 1\nMessi: 1 \nSuarez: 1\nNeymar: 1\nLewandowski: 0 \n\nSpot the impostor'
1464742248839536650;1638056740000;village_boy_in;223;271;False;0;0;0;1;b'@1Obama_ We need Barca to join us qualify hence we will show them some love only if lewandowski win ballon dor'
1464741921029513221;1638056662000;RealNoah;4;29;False;0;0;3;1;"b""Last ballon dor's country winner :\n2007 :\xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\n2008 : \xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\n2009 :\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\n2010 :\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\n2011 :\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\n2012:\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\n2013 :\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\n2014 :\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\n2015:\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\n2016 :\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\n2017 :\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\n2018 :\xf0\x9f\x87\xad\xf0\x9f\x87\xb7\n2019 :\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\n2020 :\xe2\x9c\x96\n2021 is \xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\xf0\x9f\x87\xb5\xf0\x9f\x87\xb9\xf0\x9f\x87\xb2\xf0\x9f\x87\xab\xf0\x9f\x87\xaa\xf0\x9f\x87\xac\xf0\x9f\x87\xae\xf0\x9f\x87\xb9\xf0\x9f\x87\xb5\xf0\x9f\x87\xb1?\nTelle me your choice !\n#BallonDor2021 #BallonDor #Messi #Lewandowski #Benzema #Ronaldo #Qatar2022"""
1464741750669553672;1638056621000;rapidbaldy;647;328;False;0;0;0;1;b'@matti_v2 Lewandowski even with that month wouldn\xe2\x80\x99t reach Suarez\xe2\x80\x99s tally tbh he can never reach the assist numbers'
1464741742201221121;1638056619000;serresieteee7;14;43;False;0;0;0;1;b'@rln99_LFC @Chris_official7 @Jydex91 @goal So? They have their own trophy, here we have to see who has the best numbers and who played the best football\nLeo is the best in all the things except for goals, and for that we have golden boot so... \nIf Lewandowski wins, its okay for me, he deserve it\nBut it should be Messi'
